index1,name,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
211,tsy_5yr_yield_div_tsy_3mo_yield_ewma_trim_isnull,,,,
212,tsy_5yr_yield_times_unempl_rate_ewma_trim_t,9.981,0.0027,4.009,0.0508
213,tsy_5yr_yield_times_unempl_rate_ewma_trim_isnull,,,,
214,tsy_5yr_yield_div_unempl_rate_ewma_trim_t,23.5542,0.0,20.1316,0.0
215,tsy_5yr_yield_div_unempl_rate_ewma_trim_isnull,,,,
216,tsy_5yr_yield_times_sp500_peratio_ewma_trim_t,18.903,0.0001,15.9295,0.0002
217,tsy_5yr_yield_times_sp500_peratio_ewma_trim_isnull,,,,
218,tsy_5yr_yield_div_sp500_peratio_ewma_trim_t,14.7444,0.0003,11.8596,0.0012
219,tsy_5yr_yield_div_sp500_peratio_ewma_trim_isnull,,,,
220,tsy_5yr_yield_times_capacity_util_mfg_ewma_trim_t,18.3692,0.0001,16.4041,0.0002
221,tsy_5yr_yield_times_capacity_util_mfg_ewma_trim_isnull,,,,
222,tsy_5yr_yield_div_capacity_util_mfg_ewma_trim_t,14.7801,0.0003,10.7217,0.0019
223,tsy_5yr_yield_div_capacity_util_mfg_ewma_trim_isnull,,,,
224,tsy_5yr_yield_times_capacity_util_chem_ewma_trim_t,18.4804,0.0001,16.329,0.0002
225,tsy_5yr_yield_times_capacity_util_chem_ewma_trim_isnull,,,,
226,tsy_5yr_yield_div_capacity_util_chem_ewma_trim_t,16.5753,0.0002,14.3428,0.0004
227,tsy_5yr_yield_div_capacity_util_chem_ewma_trim_isnull,,,,
228,tsy_5yr_yield_times_med_family_income_vs_house_price_ewma_trim_t,17.2921,0.0001,15.2168,0.0003
229,tsy_5yr_yield_times_med_family_income_vs_house_price_ewma_trim_isnull,,,,
230,tsy_5yr_yield_div_med_family_income_vs_house_price_ewma_trim_t,16.8597,0.0001,14.4718,0.0004
231,tsy_5yr_yield_div_med_family_income_vs_house_price_ewma_trim_isnull,,,,
232,tsy_5yr_yield_times_gdp_nom_1yr_diff_ewma_trim_t,16.9337,0.0001,14.1599,0.0004
233,tsy_5yr_yield_times_gdp_nom_1yr_diff_ewma_trim_isnull,,,,
234,tsy_5yr_yield_div_gdp_nom_1yr_diff_ewma_trim_t,17.0815,0.0001,15.3945,0.0003
235,tsy_5yr_yield_div_gdp_nom_1yr_diff_ewma_trim_isnull,,,,
236,tsy_5yr_yield_times_cpi_urb_nonvol_1yr_diff_ewma_trim_t,17.1567,0.0001,14.9821,0.0003
237,tsy_5yr_yield_times_cpi_urb_nonvol_1yr_diff_ewma_trim_isnull,,,,
238,tsy_5yr_yield_div_cpi_urb_nonvol_1yr_diff_ewma_trim_t,16.8774,0.0001,14.6039,0.0004
239,tsy_5yr_yield_div_cpi_urb_nonvol_1yr_diff_ewma_trim_isnull,,,,
240,tsy_5yr_yield_times_industrial_prod_1yr_diff_ewma_trim_t,17.3386,0.0001,15.1282,0.0003
241,tsy_5yr_yield_times_industrial_prod_1yr_diff_ewma_trim_isnull,,,,
242,tsy_5yr_yield_div_industrial_prod_1yr_diff_ewma_trim_t,16.5997,0.0002,14.1795,0.0004
243,tsy_5yr_yield_div_industrial_prod_1yr_diff_ewma_trim_isnull,,,,
244,tsy_5yr_yield_times_med_house_price_1yr_diff_ewma_trim_t,15.7052,0.0002,11.8811,0.0012
245,tsy_5yr_yield_times_med_house_price_1yr_diff_ewma_trim_isnull,,,,
246,tsy_5yr_yield_div_med_house_price_1yr_diff_ewma_trim_t,18.3589,0.0001,17.9065,0.0001
247,tsy_5yr_yield_div_med_house_price_1yr_diff_ewma_trim_isnull,,,,
248,tsy_5yr_yield_times_med_family_income_1yr_diff_ewma_trim_t,17.2535,0.0001,15.1266,0.0003
249,tsy_5yr_yield_times_med_family_income_1yr_diff_ewma_trim_isnull,,,,
250,tsy_5yr_yield_div_med_family_income_1yr_diff_ewma_trim_t,16.7968,0.0002,14.4926,0.0004
251,tsy_5yr_yield_div_med_family_income_1yr_diff_ewma_trim_isnull,,,,
252,tsy_5yr_yield_times_unempl_rate_1yr_diff_ewma_trim_t,16.627,0.0002,13.9838,0.0005
253,tsy_5yr_yield_times_unempl_rate_1yr_diff_ewma_trim_isnull,,,,
254,tsy_5yr_yield_div_unempl_rate_1yr_diff_ewma_trim_t,15.9724,0.0002,11.6225,0.0013
255,tsy_5yr_yield_div_unempl_rate_1yr_diff_ewma_trim_isnull,,,,
256,tsy_5yr_yield_times_real_med_family_income_1yr_diff_ewma_trim_t,17.296,0.0001,15.1275,0.0003
257,tsy_5yr_yield_times_real_med_family_income_1yr_diff_ewma_trim_isnull,,,,
258,tsy_5yr_yield_div_real_med_family_income_1yr_diff_ewma_trim_t,16.7451,0.0002,14.4415,0.0004
259,tsy_5yr_yield_div_real_med_family_income_1yr_diff_ewma_trim_isnull,,,,
260,tsy_5yr_yield_times_combanks_business_loans_1yr_diff_ewma_trim_t,20.3651,0.0,20.2762,0.0
261,tsy_5yr_yield_times_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
262,tsy_5yr_yield_div_combanks_business_loans_1yr_diff_ewma_trim_t,13.7255,0.0005,8.9366,0.0044
263,tsy_5yr_yield_div_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
264,tsy_5yr_yield_times_combanks_assets_tot_1yr_diff_ewma_trim_t,17.8749,0.0001,15.8504,0.0002
265,tsy_5yr_yield_times_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
266,tsy_5yr_yield_div_combanks_assets_tot_1yr_diff_ewma_trim_t,16.1846,0.0002,13.7091,0.0005
267,tsy_5yr_yield_div_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
268,tsy_5yr_yield_times_mortage_debt_individuals_1yr_diff_ewma_trim_t,15.0325,0.0003,9.6474,0.0032
269,tsy_5yr_yield_times_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
270,tsy_5yr_yield_div_mortage_debt_individuals_1yr_diff_ewma_trim_t,18.7083,0.0001,21.3998,0.0
271,tsy_5yr_yield_div_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
272,tsy_5yr_yield_times_real_estate_loans_1yr_diff_ewma_trim_t,17.3504,0.0001,13.7381,0.0005
