+-------------------------------------------------------------------------------------------+---------------+----------------+----------------+-----------------+
|                                            name                                           | linreg_scores | linreg_pvalues | classif_scores | classif_pvalues |
|                 sp500_peratio_times_med_family_income_1yr_diff_ewma_trim_t                |     8.2173    |     0.0061     |     4.8477     |      0.0324     |
|                  sp500_peratio_div_med_family_income_1yr_diff_ewma_trim_t                 |     8.0255    |     0.0066     |     4.5056     |      0.0389     |
|                    sp500_peratio_times_unempl_rate_1yr_diff_ewma_trim_t                   |     8.6337    |     0.005      |    11.0144     |      0.0017     |
|                     sp500_peratio_div_unempl_rate_1yr_diff_ewma_trim_t                    |     7.1154    |     0.0103     |     0.3925     |      0.5339     |
|              sp500_peratio_times_real_med_family_income_1yr_diff_ewma_trim_t              |     8.2617    |     0.0059     |     4.9929     |       0.03      |
|               sp500_peratio_div_real_med_family_income_1yr_diff_ewma_trim_t               |     7.9817    |     0.0068     |     4.3486     |      0.0423     |
|              sp500_peratio_times_combanks_business_loans_1yr_diff_ewma_trim_t             |     9.8166    |     0.0029     |    11.1402     |      0.0016     |
|               sp500_peratio_div_combanks_business_loans_1yr_diff_ewma_trim_t              |     6.5058    |     0.0139     |     0.0046     |      0.946      |
|                sp500_peratio_times_combanks_assets_tot_1yr_diff_ewma_trim_t               |     8.7273    |     0.0048     |     7.2176     |      0.0098     |
|                 sp500_peratio_div_combanks_assets_tot_1yr_diff_ewma_trim_t                |     7.5328    |     0.0084     |     2.1608     |      0.148      |
|             sp500_peratio_times_mortage_debt_individuals_1yr_diff_ewma_trim_t             |     7.5926    |     0.0082     |     1.0926     |      0.301      |
|              sp500_peratio_div_mortage_debt_individuals_1yr_diff_ewma_trim_t              |     8.412     |     0.0055     |    15.4069     |      0.0003     |
|                 sp500_peratio_times_real_estate_loans_1yr_diff_ewma_trim_t                |     8.8595    |     0.0045     |     5.748      |      0.0204     |
|                  sp500_peratio_div_real_estate_loans_1yr_diff_ewma_trim_t                 |     7.3334    |     0.0092     |     1.6471     |      0.2054     |
|                sp500_peratio_times_foreign_dir_invest_1yr_diff_ewma_trim_t                |     8.8366    |     0.0045     |     7.7447     |      0.0076     |
|                 sp500_peratio_div_foreign_dir_invest_1yr_diff_ewma_trim_t                 |     7.4355    |     0.0088     |     1.7704     |      0.1895     |
|                 sp500_peratio_times_tax_receipts_corp_1yr_diff_ewma_trim_t                |     6.9313    |     0.0112     |     0.2494     |      0.6197     |
