+---------------------------------------------------------------------------------------+--------+---------------+----------------+----------------+-----------------+
|                                          name                                         |  coef  | linreg_scores | linreg_pvalues | classif_scores | classif_pvalues |
|                tsy_10yr_yield_*_tax_receipts_corp_1yr_diff_ewma_trim_t                |  0.0   |    12.4843    |     0.0011     |    12.1519     |      0.0013     |
|             gdp_nom_1yr_diff_*_real_med_family_income_1yr_diff_ewma_trim_t            |  0.0   |     7.4934    |     0.0093     |    11.8608     |      0.0014     |
|            cpi_urb_nonvol_1yr_diff_*_empl_construction_1yr_diff_ewma_trim_t           |  0.0   |     7.7604    |     0.0082     |    11.8485     |      0.0014     |
|             housing_starts_1yr_diff_*_housing_supply_1yr_diff_ewma_trim_t             |  0.0   |    10.7287    |     0.0022     |    11.9689     |      0.0014     |
|                  unempl_rate_/_tax_receipts_corp_1yr_diff_ewma_trim_t                 |  0.0   |     2.9406    |     0.0943     |    11.7866     |      0.0015     |
|                 tsy_5yr_yield_*_empl_construction_1yr_diff_ewma_trim_t                |  0.0   |     16.509    |     0.0002     |    11.5102     |      0.0016     |
|               gdp_nom_1yr_diff_*_med_family_income_1yr_diff_ewma_trim_t               |  0.0   |     7.4359    |     0.0095     |    11.5462     |      0.0016     |
|            med_family_income_vs_house_price_*_gdp_nom_1yr_diff_ewma_trim_t            |  0.0   |     7.5622    |     0.009      |    11.4583     |      0.0017     |
|         combanks_assets_tot_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t         |  0.0   |     8.6043    |     0.0056     |    11.4196     |      0.0017     |
|                 tsy_10yr_yield_*_med_house_price_1yr_diff_ewma_trim_t                 |  0.0   |     12.384    |     0.0011     |    11.3073     |      0.0018     |
|         empl_construction_1yr_diff_*_combanks_assets_tot_1yr_diff_ewma_trim_t         |  0.0   |     8.1693    |     0.0068     |    11.1796     |      0.0019     |
|                 sp500_peratio_*_empl_construction_1yr_diff_ewma_trim_t                |  0.0   |    10.3028    |     0.0027     |    11.0411     |      0.002      |
|                tsy_10yr_yield_*_empl_construction_1yr_diff_ewma_trim_t                |  0.0   |    12.5683    |     0.001      |    10.8726     |      0.0021     |
|              capacity_util_chem_*_empl_construction_1yr_diff_ewma_trim_t              |  0.0   |     8.7494    |     0.0052     |    10.9109     |      0.0021     |
|                  tsy_5yr_yield_/_housing_supply_1yr_diff_ewma_trim_t                  |  0.0   |    13.5535    |     0.0007     |    10.7535     |      0.0022     |
|                capacity_util_mfg_*_med_house_price_1yr_diff_ewma_trim_t               |  0.0   |     8.476     |     0.0059     |    10.8056     |      0.0022     |
|          unempl_rate_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t         |  0.0   |     3.6755    |     0.0626     |    10.7459     |      0.0022     |
|                equity_alloc_*_med_house_price_1yr_diff_ewma_trim_pow2_t               |  0.0   |    11.7983    |     0.0014     |    10.8166     |      0.0022     |
|                      sp500_peratio_*_gdp_nom_1yr_diff_ewma_trim_t                     |  0.0   |     9.6691    |     0.0035     |     10.629     |      0.0024     |
|                   capacity_util_chem_*_gdp_nom_1yr_diff_ewma_trim_t                   |  0.0   |     8.1267    |     0.0069     |    10.6041     |      0.0024     |
|                gdp_nom_1yr_diff_*_med_house_price_1yr_diff_ewma_trim_t                |  0.0   |     8.1682    |     0.0068     |    10.5576     |      0.0024     |
|          foreign_dir_invest_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t         |  0.0   |     8.0875    |     0.0071     |    10.6076     |      0.0024     |
|                 tsy_5yr_yield_*_real_estate_loans_1yr_diff_ewma_trim_t                |  0.0   |     16.17     |     0.0003     |    10.5315     |      0.0025     |
|                     tsy_10yr_yield_/_unempl_rate_ewma_trim_pow2_t                     |  0.0   |      19.5     |     0.0001     |     10.45      |      0.0025     |
|                       tsy_5yr_yield_*_sp500_peratio_ewma_trim_t                       |  0.0   |    16.5915    |     0.0002     |    10.3885     |      0.0026     |
|              unempl_rate_/_mortage_debt_individuals_1yr_diff_ewma_trim_t              |  0.0   |     2.191     |     0.1469     |    10.3896     |      0.0026     |
|                      empl_construction_1yr_diff_ewma_trim_pow2_t                      |  0.0   |     8.7982    |     0.0051     |     10.426     |      0.0026     |
|                  tsy_3mo_yield_/_housing_supply_1yr_diff_ewma_trim_t                  |  0.0   |    19.2884    |     0.0001     |    10.2979     |      0.0027     |
|              sp500_peratio_*_med_family_income_vs_house_price_ewma_trim_t             |  0.0   |     9.4706    |     0.0038     |    10.1934     |      0.0028     |
|                sp500_peratio_/_foreign_dir_invest_1yr_diff_ewma_trim_t                |  0.0   |     8.8788    |     0.0049     |    10.2198     |      0.0028     |
|           empl_construction_1yr_diff_*_med_house_price_1yr_diff_ewma_trim_t           |  0.0   |     8.7252    |     0.0053     |    10.2275     |      0.0028     |
